序号,单词/词组,类型,难度,zipf,freq_per_million,频段
16,all,单词,1,6.52,3310.0,1K (高频)
861,time,单词,1,6.29,1950.0,1K (高频)
543,new,单词,1,6.25,1780.0,1K (高频)
588,people,单词,2,6.25,1780.0,1K (高频)
46,back,单词,1,6.04,1100.0,1K (高频)
497,may,单词,1,5.98,955.0,1K (高频)
90,brother in law,词组,5,5.947,6339.0,1K (高频)
214,day off,词组,3,5.94,871.0,1K (高频)
941,world,单词,2,5.89,776.0,1K (高频)
362,great,单词,2,5.88,759.0,1K (高频)
390,home,单词,1,5.81,646.0,1K (高频)
476,long,单词,1,5.81,646.0,1K (高频)
564,old,单词,1,5.75,562.0,1K (高频)
397,house,单词,2,5.71,513.0,1K (高频)
716,school,单词,2,5.71,513.0,1K (高频)
835,team,单词,1,5.67,468.0,1K (高频)
651,put,单词,1,5.66,457.0,1K (高频)
519,money,单词,2,5.64,437.0,1K (高频)
134,city,单词,1,5.61,407.0,1K (高频)
547,night,单词,2,5.61,407.0,1K (高频)
535,name,单词,1,5.61,407.0,1K (高频)
731,set,单词,1,5.59,389.0,1K (高频)
869,top,单词,1,5.57,372.0,1K (高频)
364,group,单词,2,5.57,372.0,1K (高频)
94,business,单词,3,5.56,363.0,1K (高频)
923,week,单词,1,5.56,363.0,1K (高频)
820,system,单词,2,5.56,363.0,1K (高频)
109,care,单词,1,5.56,363.0,1K (高频)
119,change,单词,2,5.54,347.0,1K (高频)
338,full,单词,1,5.54,347.0,1K (高频)
424,international house,词组,5,5.535,371.0,1K (高频)
816,support,单词,3,5.53,339.0,1K (高频)
534,music,单词,2,5.52,331.0,1K (高频)
627,power,单词,2,5.52,331.0,1K (高频)
915,water,单词,2,5.52,331.0,1K (高频)
929,white,单词,2,5.51,324.0,1K (高频)
380,head,单词,1,5.51,324.0,1K (高频)
730,service,单词,3,5.49,309.0,1K (高频)
190,country,单词,3,5.48,302.0,1K (高频)
339,full-time,单词,4,5.47,294.0,1K (高频)
126,children,单词,3,5.47,295.0,1K (高频)
916,water level,词组,5,5.465,294.0,1K (高频)
864,together,单词,3,5.46,288.0,1K (高频)
930,whole,单词,2,5.46,288.0,1K (高频)
795,story,单词,2,5.45,282.0,1K (高频)
