序号,单词/词组,类型,难度
1,academic,单词,3
2,accurate,单词,3
3,animal,单词,2
4,automatic,单词,4
5,basic,单词,2
6,bay,单词,1
7,bilingual,单词,4
8,blonde,单词,2
9,canal,单词,2
10,central,单词,3
11,cheap,单词,2
12,classical,单词,4
13,clear,单词,2
14,cloudy,单词,2
15,cognitive,单词,4
16,comfortable,单词,5
17,common,单词,2
18,confident,单词,4
19,constant,单词,3
20,convenient,单词,4
21,current,单词,3
22,damp,单词,1
23,dangerous,单词,4
24,dark,单词,1
25,day,单词,1
26,dead,单词,1
27,democratic,单词,4
28,dry,单词,1
29,economic,单词,3
30,electronic,单词,4
31,embassy,单词,3
32,endangered,单词,4
33,energy,单词,2
34,english,单词,3
35,entry,单词,2
36,factory,单词,3
37,family,单词,2
38,fit,单词,1
39,flexible,单词,3
40,fluent,单词,2
41,formal,单词,2
42,general,单词,3
43,global,单词,2
44,golden,单词,2
45,hard,单词,1
46,healthy,单词,3
47,heavy,单词,2
48,illegal,单词,3
49,intensive,单词,4
50,international,单词,5
51,library,单词,3
52,lively,单词,2
53,local,单词,2
54,low,单词,1
55,magic,单词,2
56,medical,单词,3
57,memory,单词,2
58,metal,单词,2
59,mid-day,单词,3
60,missed,单词,2
61,modern,单词,2
62,moist,单词,2
63,monthly,单词,3
64,negative,单词,3
65,noisy,单词,2
66,northern,单词,3
67,nursery,单词,3
68,ordinary,单词,3
69,outdoor,单词,3
70,permanent,单词,4
71,personal,单词,3
72,political,单词,4
73,practical,单词,4
74,predictable,单词,5
75,pregnant,单词,3
76,primary,单词,3
77,reasonable,单词,4
78,rectangular,单词,5
79,reliable,单词,3
80,safe,单词,1
81,satisfactory,单词,5
82,secondary,单词,4
83,shady,单词,2
84,sharp,单词,2
85,signed,单词,2
86,silent,单词,2
87,situational,单词,5
88,small,单词,2
89,social,单词,2
90,standard,单词,3
91,stolen,单词,2
92,structural,单词,4
93,survival,单词,3
94,technical,单词,4
95,temporary,单词,4
96,tidy,单词,1
97,traditional,单词,5
98,tuesday,单词,3
99,unnecessary,单词,5
100,urban,单词,2
101,visible,单词,3
102,wealthy,单词,3
103,wet,单词,1
104,wide,单词,1
105,windy,单词,2
