序号,词组,词性,难度
1,animal magic,名词,5
2,annual fee,名词,4
3,answer phone,名词,5
4,biology lesson,名词,5
5,brother in law,名词,5
6,business card,名词,5
7,car park,名词,3
8,chocolate bar,名词,5
9,christmas day,名词,5
10,city centre,名词,5
11,classical music,名词,5
12,clear voice,名词,5
13,day off,名词,3
14,domestic life,名词,5
15,education system,名词,5
16,fishing industry,名词,5
17,free entry,名词,4
18,free meal,名词,4
19,gift shop,名词,4
20,guided tour,名词,5
21,health problems,名词,5
22,in advance,短语,4
23,interest rates,名词,5
24,international house,名词,5
25,keep fit,短语,3
26,local craftsman,名词,5
27,low risk,名词,3
28,main hall,名词,4
29,market share,名词,5
30,media room,名词,4
31,national holidays,名词,5
32,parking lot,名词,5
33,photo card,名词,4
34,piano player,名词,5
35,primary school,名词,5
36,report writing,名词,5
37,resources room,名词,5
38,rose garden,名词,5
39,safety rules,名词,5
40,salad bar,名词,4
41,sea level,名词,4
42,side effects,名词,5
43,student support,名词,5
44,team leader,名词,5
45,think quickly,短语,5
46,water level,名词,5
