序号,单词/词组,词性,类型
1,acid,名词,单词
2,ages,名词,单词
3,all,名词,单词
4,app,名词,单词
5,art,名词,单词
6,aunt,名词,单词
7,baby,名词,单词
8,back,名词,单词
9,bags,名词,单词
10,band,名词,单词
11,bank,名词,单词
12,bath,名词,单词
13,bay,形容词,单词
14,bed,名词,单词
15,bees,名词,单词
16,bike,名词,单词
17,bill,名词,单词
18,blog,名词,单词
19,blue,名词,单词
20,boat,名词,单词
21,bone,名词,单词
22,book,动词,单词
23,box,名词,单词
24,buy,动词,单词
25,cab,名词,单词
26,cafe,名词,单词
27,car,名词,单词
28,card,名词,单词
29,care,名词,单词
30,cash,名词,单词
31,cave,名词,单词
32,cd,名词,单词
33,chat,名词,单词
34,city,名词,单词
35,clay,名词,单词
36,club,名词,单词
37,coal,名词,单词
38,code,名词,单词
39,come,动词,单词
40,cost,动词,单词
41,crow,名词,单词
42,damp,形容词,单词
43,dark,形容词,单词
44,data,名词,单词
45,day,形容词,单词
46,dead,形容词,单词
47,diet,名词,单词
48,dog,名词,单词
49,dogs,名词,单词
50,door,名词,单词
51,dry,形容词,单词
52,duck,名词,单词
53,dust,名词,单词
54,ear,名词,单词
55,edit,动词,单词
56,egg,名词,单词
57,eyes,名词,单词
58,fall,名词,单词
59,farm,名词,单词
60,fat,名词,单词
61,feed,动词,单词
62,fees,名词,单词
63,feet,名词,单词
64,film,名词,单词
65,fire,名词,单词
66,fish,名词,单词
67,fit,形容词,单词
68,flag,名词,单词
69,food,名词,单词
70,frog,名词,单词
71,fuel,名词,单词
72,full,名词,单词
73,gene,名词,单词
74,go,动词,单词
75,hair,名词,单词
76,half,名词,单词
77,hall,名词,单词
78,hand,名词,单词
79,hard,形容词,单词
80,head,名词,单词
81,hill,名词,单词
82,home,名词,单词
83,ice,名词,单词
84,item,名词,单词
85,jazz,名词,单词
86,jobs,名词,单词
87,july,名词,单词
88,june,名词,单词
89,king,名词,单词
90,knee,名词,单词
91,lake,名词,单词
92,lamp,名词,单词
93,late,动词,单词
94,leaf,名词,单词
95,leg,名词,单词
96,lion,名词,单词
97,logo,名词,单词
98,long,名词,单词
99,low,形容词,单词
100,male,名词,单词
101,map,名词,单词
102,maps,名词,单词
103,mass,名词,单词
104,math,名词,单词
105,may,名词,单词
106,meal,名词,单词
107,meat,名词,单词
108,moon,名词,单词
109,move,动词,单词
110,mud,名词,单词
111,name,名词,单词
112,neck,名词,单词
113,nest,名词,单词
114,new,名词,单词
115,oil,名词,单词
116,old,名词,单词
117,pack,名词,单词
118,page,名词,单词
119,park,名词,单词
120,pass,名词,单词
121,peak,名词,单词
122,pet,名词,单词
123,plan,动词,单词
124,play,动词,单词
125,plot,名词,单词
126,pool,名词,单词
127,poor,名词,单词
128,port,名词,单词
129,put,名词,单词
130,quiz,名词,单词
131,rain,名词,单词
132,rats,名词,单词
133,red,名词,单词
134,risk,名词,单词
135,road,名词,单词
136,rock,名词,单词
137,roof,名词,单词
138,room,名词,单词
139,rose,名词,单词
140,safe,形容词,单词
141,sale,名词,单词
142,salt,名词,单词
143,sand,名词,单词
144,sea,名词,单词
145,see,动词,单词
146,seed,名词,单词
147,self,名词,单词
148,send,动词,单词
149,set,名词,单词
150,sex,名词,单词
151,ship,名词,单词
152,sign,名词,单词
153,size,名词,单词
154,sky,名词,单词
155,soil,名词,单词
156,son,名词,单词
157,suit,名词,单词
158,tail,名词,单词
159,talk,名词,单词
160,tape,名词,单词
161,taps,名词,单词
162,tax,名词,单词
163,taxi,名词,单词
164,tea,名词,单词
165,team,名词,单词
166,tent,名词,单词
167,term,名词,单词
168,tide,名词,单词
169,tidy,形容词,单词
170,time,名词,单词
171,tool,名词,单词
172,top,名词,单词
173,tour,名词,单词
174,town,名词,单词
175,tree,名词,单词
176,tube,名词,单词
177,unit,名词,单词
178,view,动词,单词
179,wait,动词,单词
180,wall,名词,单词
181,week,名词,单词
182,west,名词,单词
183,wet,形容词,单词
184,wide,形容词,单词
185,wifi,名词,单词
186,wine,名词,单词
187,wire,名词,单词
188,wood,名词,单词
189,work,动词,单词
190,yoga,名词,单词
